ID,Provider,Processor,Resources,vCPU,RAM,Disk,Bandwidth TB,Speed Gbit,Currency,Price (0% curr),EUR (0%),EUR (25%),Ratio 2:1,Ratio 1:1,Ratio 1:2,Ratio 1:3,Avg,Provider Avg,Comments,Locations
84,Contabo,x86,Shared,20,96,400,32,1,EUR,61.5,61.5,76.875,0.452205882,0.530172414,0.29009434,0.199675325,0.36803699,0.584753839,,
85,Contabo,x86,Dedicated,3,24,180,32,0.25,EUR,34.4,34.4,43,1.146666667,1.274074074,0.674509804,0.458666667,0.888479303,0.584753839,,
86,Contabo,x86,Dedicated,4,32,240,32,0.5,EUR,44.8,44.8,56,1.12,1.244444444,0.658823529,0.448,0.867816993,0.584753839,,
87,Contabo,x86,Dedicated,6,48,360,32,0.75,EUR,64,64,80,1.066666667,1.185185185,0.62745098,0.426666667,0.826492375,0.584753839,,
88,Contabo,x86,Dedicated,8,64,480,32,1,EUR,82.4,82.4,103,1.03,1.144444444,0.605882353,0.412,0.798081699,0.584753839,,
89,Contabo,x86,Dedicated,12,96,720,32,1,EUR,119,119,148.75,0.991666667,1.101851852,0.583333333,0.396666667,0.76837963,0.584753839,,
90,Hetzner,Intel,Shared,2,4,40,20,1,EUR,3.79,3.79,4.7375,0.47375,0.631666667,0.379,0.270714286,0.438782738,0.64227212,,
91,Hetzner,Intel,Shared,4,8,80,20,1,EUR,6.8,6.8,8.5,0.425,0.566666667,0.34,0.242857143,0.393630952,0.64227212,,
92,Hetzner,Intel,Shared,8,16,160,20,1,EUR,16.4,16.4,20.5,0.5125,0.683333333,0.41,0.292857143,0.474672619,0.64227212,,
93,Hetzner,Intel,Shared,16,32,320,20,1,EUR,32.4,32.4,40.5,0.50625,0.675,0.405,0.289285714,0.468883929,0.64227212,,
94,Hetzner,AMD,Shared,2,2,40,20,1,EUR,4.35,4.35,5.4375,0.725,1.0875,0.725,0.54375,0.7703125,0.64227212,,
95,Hetzner,AMD,Shared,3,4,80,20,1,EUR,7.55,7.55,9.4375,0.755,1.078571429,0.686363636,0.503333333,0.7558171,0.64227212,,
96,Hetzner,AMD,Shared,4,8,160,20,1,EUR,13.6,13.6,17,0.85,1.133333333,0.68,0.485714286,0.787261905,0.64227212,,
97,Hetzner,AMD,Shared,8,16,240,20,1,EUR,25.2,25.2,31.5,0.7875,1.05,0.63,0.45,0.729375,0.64227212,,
98,Hetzner,AMD,Shared,16,32,360,20,1,EUR,54.9,54.9,68.625,0.8578125,1.14375,0.68625,0.490178571,0.794497768,0.64227212,,
99,Hetzner,ARM,Shared,2,4,40,20,1,EUR,3.79,3.79,4.7375,0.47375,0.631666667,0.379,0.270714286,0.438782738,0.64227212,,
100,Hetzner,ARM,Shared,4,8,80,20,1,EUR,6.49,6.49,8.1125,0.405625,0.540833333,0.3245,0.231785714,0.375686012,0.64227212,,
101,Hetzner,ARM,Shared,8,16,160,20,1,EUR,12.49,12.49,15.6125,0.3903125,0.520416667,0.31225,0.223035714,0.36150372,0.64227212,,
102,Hetzner,ARM,Shared,16,32,320,20,1,EUR,24.49,24.49,30.6125,0.38265625,0.510208333,0.306125,0.218660714,0.354412574,0.64227212,,
103,Hetzner,AMD,Dedicated,2,8,80,20,1,EUR,12.49,12.49,15.6125,1.040833333,1.249,0.693888889,0.480384615,0.866026709,0.64227212,,
104,Hetzner,AMD,Dedicated,4,16,160,20,1,EUR,24.49,24.49,30.6125,1.020416667,1.2245,0.680277778,0.470961538,0.849038996,0.64227212,,
105,Hetzner,AMD,Dedicated,8,32,240,20,1,EUR,48.49,48.49,60.6125,1.010208333,1.21225,0.673472222,0.46625,0.840545139,0.64227212,,
106,Hetzner,AMD,Dedicated,16,64,360,20,1,EUR,96.49,96.49,120.6125,1.005104167,1.206125,0.670069444,0.463894231,0.83629821,0.64227212,,
107,Hetzner,AMD,Dedicated,32,128,600,20,1,EUR,192.49,192.49,240.6125,1.002552083,1.2030625,0.668368056,0.462716346,0.834174746,0.64227212,,
108,Hetzner,AMD,Dedicated,48,192,960,20,1,EUR,288.49,288.49,360.6125,1.001701389,1.202041667,0.667800926,0.462323718,0.833466925,0.64227212,,
109,Infomaniak,x86,Dedicated,6,18,250,,,EUR,49,49,61.25,1.633333333,2.041666667,1.166666667,0.816666667,1.414583333,0.722208282,,
110,Infomaniak,x86,Dedicated,8,24,250,,,EUR,79,79,98.75,1.975,2.46875,1.410714286,0.9875,1.710491071,0.722208282,,
111,Infomaniak,x86,Dedicated,12,36,250,,,EUR,99,99,123.75,1.65,2.0625,1.178571429,0.825,1.429017857,0.722208282,,
112,Infomaniak,x86,Shared,1,2,0,,,EUR,2.65,2.65,3.3125,0.6625,0.883333333,0.53,0.378571429,0.61360119,0.722208282,,
113,Infomaniak,x86,Shared,1,2,20,,,EUR,4.21,4.21,5.2625,1.0525,1.403333333,0.842,0.601428571,0.974815476,0.722208282,,
114,Infomaniak,x86,Shared,2,4,0,,,EUR,5.29,5.29,6.6125,0.66125,0.881666667,0.529,0.377857143,0.612443452,0.722208282,,
115,Infomaniak,x86,Shared,1,2,50,,,EUR,6.56,6.56,8.2,1.64,2.186666667,1.312,0.937142857,1.518952381,0.722208282,,
116,Infomaniak,x86,Shared,2,4,20,,,EUR,6.85,6.85,8.5625,0.85625,1.141666667,0.685,0.489285714,0.793050595,0.722208282,,
117,Infomaniak,x86,Shared,1,2,80,,,EUR,8.9,8.9,11.125,2.225,2.966666667,1.78,1.271428571,2.06077381,0.722208282,,
118,Infomaniak,x86,Shared,2,4,50,,,EUR,9.21,9.21,11.5125,1.15125,1.535,0.921,0.657857143,1.066276786,0.722208282,,
119,Infomaniak,x86,Shared,4,8,0,,,EUR,10.59,10.59,13.2375,0.661875,0.8825,0.5295,0.378214286,0.613022321,0.722208282,,
120,Infomaniak,x86,Shared,2,4,80,,,EUR,11.55,11.55,14.4375,1.44375,1.925,1.155,0.825,1.3371875,0.722208282,,
121,Infomaniak,x86,Shared,4,8,20,,,EUR,12.15,12.15,15.1875,0.759375,1.0125,0.6075,0.433928571,0.703325893,0.722208282,,
122,Infomaniak,x86,Shared,4,8,50,,,EUR,14.5,14.5,18.125,0.90625,1.208333333,0.725,0.517857143,0.839360119,0.722208282,,
123,Infomaniak,x86,Shared,4,16,0,,,EUR,14.73,14.73,18.4125,0.61375,0.7365,0.409166667,0.283269231,0.510671474,0.722208282,,
124,Infomaniak,x86,Shared,4,16,20,,,EUR,16.29,16.29,20.3625,0.67875,0.8145,0.4525,0.313269231,0.564754808,0.722208282,,
125,Infomaniak,x86,Shared,4,8,80,,,EUR,16.89,16.89,21.1125,1.055625,1.4075,0.8445,0.603214286,0.977709821,0.722208282,,
126,Infomaniak,x86,Shared,4,16,50,,,EUR,18.65,18.65,23.3125,0.777083333,0.9325,0.518055556,0.358653846,0.646573184,0.722208282,,
127,Infomaniak,x86,Shared,4,16,80,,,EUR,20.99,20.99,26.2375,0.874583333,1.0495,0.583055556,0.403653846,0.727698184,0.722208282,,
128,Infomaniak,x86,Shared,8,16,0,,,EUR,21.17,21.17,26.4625,0.6615625,0.882083333,0.52925,0.378035714,0.612732887,0.722208282,,
129,Infomaniak,x86,Shared,8,16,20,,,EUR,22.74,22.74,28.425,0.710625,0.9475,0.5685,0.406071429,0.658174107,0.722208282,,
130,Infomaniak,x86,Shared,8,16,50,,,EUR,25.08,25.08,31.35,0.78375,1.045,0.627,0.447857143,0.725901786,0.722208282,,
131,Infomaniak,x86,Shared,8,16,80,,,EUR,27.43,27.43,34.2875,0.8571875,1.142916667,0.68575,0.489821429,0.793918899,0.722208282,,
132,Infomaniak,x86,Shared,8,32,0,,,EUR,29.46,29.46,36.825,0.61375,0.7365,0.409166667,0.283269231,0.510671474,0.722208282,,
133,Infomaniak,x86,Shared,8,32,20,,,EUR,31.03,31.03,38.7875,0.646458333,0.77575,0.430972222,0.298365385,0.537886485,0.722208282,,
134,Infomaniak,x86,Shared,12,24,0,,,EUR,13.76,13.76,17.2,0.286666667,0.382222222,0.229333333,0.163809524,0.265507937,0.722208282,,
135,Infomaniak,x86,Shared,12,24,20,,,EUR,33.32,33.32,41.65,0.694166667,0.925555556,0.555333333,0.396666667,0.642930556,0.722208282,,
136,Infomaniak,x86,Shared,8,32,50,,,EUR,33.38,33.38,41.725,0.695416667,0.8345,0.463611111,0.320961538,0.578622329,0.722208282,,
137,Infomaniak,x86,Shared,12,24,50,,,EUR,35.64,35.64,44.55,0.7425,0.99,0.594,0.424285714,0.687696429,0.722208282,,
138,Infomaniak,x86,Shared,8,32,80,,,EUR,35.72,35.72,44.65,0.744166667,0.893,0.496111111,0.343461538,0.619184829,0.722208282,,
139,Infomaniak,x86,Shared,12,24,80,,,EUR,38.02,38.02,47.525,0.792083333,1.056111111,0.633666667,0.452619048,0.73362004,0.722208282,,
140,Infomaniak,x86,Shared,16,32,0,,,EUR,42.35,42.35,52.9375,0.66171875,0.882291667,0.529375,0.378125,0.612877604,0.722208282,,
141,Infomaniak,x86,Shared,16,32,20,,,EUR,43.91,43.91,54.8875,0.68609375,0.914791667,0.548875,0.392053571,0.635453497,0.722208282,,
142,Infomaniak,x86,Shared,12,48,0,,,EUR,44.19,44.19,55.2375,0.61375,0.7365,0.409166667,0.283269231,0.510671474,0.722208282,,
143,Infomaniak,x86,Shared,12,48,20,,,EUR,45.76,45.76,57.2,0.635555556,0.762666667,0.423703704,0.293333333,0.528814815,0.722208282,,
144,Infomaniak,x86,Shared,16,32,50,,,EUR,46.25,46.25,57.8125,0.72265625,0.963541667,0.578125,0.412946429,0.669317336,0.722208282,,
145,Infomaniak,x86,Shared,12,48,50,,,EUR,48.11,48.11,60.1375,0.668194444,0.801833333,0.445462963,0.308397436,0.555972044,0.722208282,,
146,Infomaniak,x86,Shared,16,32,80,,,EUR,48.6,48.6,60.75,0.759375,1.0125,0.6075,0.433928571,0.703325893,0.722208282,,
147,Infomaniak,x86,Shared,12,48,80,,,EUR,50.45,50.45,63.0625,0.700694444,0.840833333,0.46712963,0.323397436,0.583013711,0.722208282,,
148,Infomaniak,x86,Shared,16,64,0,,,EUR,58.93,58.93,73.6625,0.613854167,0.736625,0.409236111,0.283317308,0.510758146,0.722208282,,
149,Infomaniak,x86,Shared,16,64,20,,,EUR,60.49,60.49,75.6125,0.630104167,0.756125,0.420069444,0.290817308,0.52427898,0.722208282,,
150,Infomaniak,x86,Shared,16,64,50,,,EUR,62.84,62.84,78.55,0.654583333,0.7855,0.436388889,0.302115385,0.544646902,0.722208282,,
151,Infomaniak,x86,Shared,16,64,80,,,EUR,65.18,65.18,81.475,0.678958333,0.81475,0.452638889,0.313365385,0.564928152,0.722208282,,
152,Infomaniak,x86,Shared,24,48,20,,,EUR,66.65,66.65,83.3125,0.694270833,0.925694444,0.555416667,0.39672619,0.643027034,0.722208282,,
153,Infomaniak,x86,Shared,24,48,50,,,EUR,71.34,71.34,89.175,0.743125,0.990833333,0.5945,0.424642857,0.688275298,0.722208282,,
154,Infomaniak,x86,Shared,24,48,80,,,EUR,76.03,76.03,95.0375,0.791979167,1.055972222,0.633583333,0.452559524,0.733523562,0.722208282,,
155,Infomaniak,x86,Shared,32,64,20,,,EUR,87.82,87.82,109.775,0.68609375,0.914791667,0.548875,0.392053571,0.635453497,0.722208282,,
